Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,USA,United States of America,2011,All,Age80_84,[80-84],118812.0,33.56754787,,2056.3618153
NAC,North America and the Caribbean,USA,United States of America,2011,All,Age85_over,[85+],313737.0,39.68616587,,5519.9886411
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age45_49,[45-49],11630.0,26.72703038,,104.22215324
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age_unknown,[Unknown],26.0,26.26262626,,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age50_54,[50-54],19276.0,28.26600191,,174.35947812
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age30_34,[30-34],1756.0,11.40778276,,17.47917803
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age35_39,[35-39],3037.0,17.50129661,,30.57647068
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age40_44,[40-44],6027.0,23.30446215,,57.91769595
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age55_59,[55-59],26108.0,29.29237397,,265.5070108
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age60_64,[60-64],32562.0,30.2868517,,393.92788272
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age65_69,[65-69],33650.0,30.21378611,,560.29740886
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age70_74,[70-74],37076.0,30.16687957,,829.89279395
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age75_79,[75-79],44945.0,31.56892907,,1387.3198136
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age80_84,[80-84],57585.0,33.80949026,,2459.1833641
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age85_over,[85+],110846.0,38.83542086,,5804.4431644
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age_all,[All],386881.0,30.82771172,166.37743217,251.34586599
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age00,[0],268.0,2.0109552,,12.7617103
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age01_04,[1-4],116.0,4.82328482,,1.35401348
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age05_09,[5-9],60.0,4.34782609,,0.56677759
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age10_14,[10-14],90.0,5.00277932,,0.84526225
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age15_19,[15-19],279.0,3.66237858,,2.44898432
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age20_24,[20-24],585.0,4.08919335,,5.17981392
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age25_29,[25-29],959.0,6.52736183,,8.98449196
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age_all,[All],396594.0,31.4637281,107.62344016,251.54970217
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age00,[0],232.0,2.17676862,,11.5570252
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age01_04,[1-4],97.0,5.26887561,,1.18444769
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age05_09,[5-9],79.0,7.37628385,,0.78059863
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age10_14,[10-14],78.0,6.7767159,,0.76646326
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age15_19,[15-19],143.0,4.80510753,,1.32191201
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age20_24,[20-24],299.0,6.27228865,,2.77011441
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age25_29,[25-29],524.0,8.91156463,,5.01759414
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age30_34,[30-34],970.0,12.46306052,,9.68570584
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age35_39,[35-39],1573.0,15.53580247,,15.73638268
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age40_44,[40-44],2914.0,17.60405969,,28.41210184
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age45_49,[45-49],5430.0,19.28267045,,49.21179561
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age50_54,[50-54],8611.0,19.85107658,,76.65477187
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age_unknown,[Unknown],6.0,17.14285714,,
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age75_79,[75-79],38094.0,29.32450637,,929.6877002
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age80_84,[80-84],61227.0,33.34313581,,1781.8032395
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age85_over,[85+],202891.0,40.16689104,,5375.4019808
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age55_59,[55-59],11784.0,21.36989282,,114.42559739
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age60_64,[60-64],16486.0,23.0473501,,184.06079924
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age65_69,[65-69],19472.0,23.71684003,,283.97100906
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age70_74,[70-74],25684.0,26.02914648,,498.05202398
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age45_49,[45-49],16269.0,23.75764833,,74.38982647
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age50_54,[50-54],27716.0,24.97296908,,123.90932212
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age_all,[All],787431.0,30.9612512,132.41143665,250.73916023
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age00,[0],492.0,2.08218714,,12.29647399
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age01_04,[1-4],217.0,5.1446183,,1.30110502
